,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
258,2007-08-14 15:42:00,45,40.0,17,0,0,0,10,4,3
259,2007-08-15 15:42:00,23,33.666666666666664,3,1,0,0,1,2,1
260,2007-08-16 15:42:00,43,37.0,15,2,1,0,9,8,3
261,2007-08-17 15:42:00,57,41.0,13,0,1,0,14,6,2
262,2007-08-18 15:42:00,97,65.66666666666667,15,1,1,0,12,17,6
263,2007-08-19 15:42:00,67,73.66666666666667,8,0,1,0,13,8,2
264,2007-08-20 15:42:00,37,67.0,9,1,0,0,7,4,1
265,2007-08-21 15:42:00,43,49.0,21,1,0,0,9,8,11
266,2007-08-22 15:42:00,34,38.0,8,1,1,0,4,4,3
267,2007-08-23 15:42:00,100,59.0,45,0,4,0,30,24,11
268,2007-08-24 15:42:00,46,60.0,18,0,0,0,13,7,1
269,2007-08-25 15:42:00,36,60.66666666666666,12,0,0,0,8,4,4
270,2007-08-26 15:42:00,35,39.0,11,0,0,0,10,8,0
271,2007-08-27 15:42:00,93,54.66666666666666,30,0,0,0,24,17,7
272,2007-08-28 15:42:00,34,54.0,12,0,0,0,8,4,5
273,2007-08-29 15:42:00,31,52.66666666666666,3,0,0,0,7,4,3
274,2007-08-30 15:42:00,43,36.0,10,0,2,0,17,5,2
275,2007-08-31 15:42:00,33,35.666666666666664,10,0,0,0,8,5,0
276,2007-09-01 15:42:00,51,42.333333333333336,13,0,0,0,10,8,6
277,2007-09-02 15:42:00,67,50.33333333333334,26,0,1,0,13,10,8
278,2007-09-03 15:42:00,20,46.0,4,0,0,0,5,4,1
279,2007-09-04 15:42:00,52,46.33333333333334,19,0,0,0,6,15,5
280,2007-09-05 15:42:00,31,34.333333333333336,5,3,0,0,7,6,1
281,2007-09-06 15:42:00,24,35.666666666666664,7,0,0,0,6,8,0
282,2007-09-07 15:42:00,27,27.33333333333333,4,0,0,0,8,4,1
283,2007-09-08 15:42:00,26,25.66666666666667,10,0,0,0,10,4,0
284,2007-09-09 15:42:00,125,59.33333333333334,37,3,0,0,30,14,12
285,2007-09-10 15:42:00,125,92.0,59,3,1,0,43,22,19
286,2007-09-11 15:42:00,94,114.66666666666669,38,0,0,0,23,17,9
287,2007-09-12 15:42:00,34,84.33333333333333,4,0,0,0,3,2,2
288,2007-09-13 15:42:00,37,55.0,7,2,1,0,4,4,0
289,2007-09-14 15:42:00,60,43.66666666666666,13,0,0,0,13,10,3
