,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
174,174,174,06-23,1.5839688583919778,-0.5296757550559417,0.9214238635625056
175,175,175,06-24,1.8658257637714384,0.3186883985873281,0.7343559037918196
176,176,176,06-25,2.30721003042597,1.647215685537078,0.5535309956251941
177,177,177,06-26,1.7905186778553397,0.09202078467685594,0.1540602230764144
178,178,178,06-27,1.7787254173884526,0.056524122208303926,0.12696080207306165
179,179,179,06-28,1.5405336373599308,-0.6604118974951396,0.3097060562072532
180,180,180,06-29,1.5299484787558626,-0.6922722810760581,0.1704488621873507
181,181,181,06-30,2.230112809011483,1.4151599233924768,0.1420729254728238
182,182,182,07-01,2.0296127161850293,0.8116725214176631,0.1832944441299668
183,183,183,07-02,1.7339536732502792,-0.07823483561030549,0.4740907827350713
184,184,184,07-03,1.8608969917095632,0.3038532341511617,0.7078863309338564
185,185,185,07-04,2.120211284579646,1.084366134135488,0.4637409852468435
186,186,186,07-05,1.9959999220457203,0.7105010081166521,0.21807885314173028
187,187,187,07-06,1.7434299290056228,-0.04971215072959976,-0.004331096285868814
188,188,188,07-07,1.5399062520914293,-0.6623002712130166,-0.021380384846342443
189,189,189,07-08,1.290598448006108,-1.4126945321759001,-0.16997129957855026
190,190,190,07-09,1.826910692133328,0.20155750278831988,-0.2438081269731817
191,191,191,07-10,1.8240079958334248,0.19282064574224111,-0.40333024049827787
192,192,192,07-11,1.8488125173225407,0.26748004374886314,-0.4496052453233707
193,193,193,07-12,1.4254362297337821,-1.0068448318801764,-0.1208989757119718
194,194,194,07-13,1.447660985006007,-0.9399503001635736,-0.14164224842416465
195,195,195,07-14,1.9458463025998325,0.5595430854924933,-0.30904913246453275
196,196,196,07-15,1.7855607508681812,0.07709786651516265,-0.0739000731686779
197,197,197,07-16,1.4902966804351758,-0.8116206584999671,0.24004261334011315
198,198,198,07-17,2.3175620693024834,1.678374399523992,0.5347247719270062
199,199,199,07-18,2.051254143226789,0.8768112871725701,0.5490364036868921
200,200,200,07-19,2.0350846822460467,0.8281426513577842,0.5115093564459414
201,201,201,07-20,1.9743753173262235,0.6454128760518089,0.726747364216637
202,202,202,07-21,1.710753789556064,-0.14806441693054145,0.5960226171400109
203,203,203,07-22,1.9193552529580191,0.4798073881242061,0.23558787181310506
204,204,204,07-23,2.0569734587915507,0.8940259170642357,-0.20066958529052714
205,205,205,07-24,1.3327582840644472,-1.2857971847888654,-0.5073682834737653
206,206,206,07-25,1.1654427275744412,-1.7894020912640087,-0.3781789208817221
207,207,207,07-26,1.3629976754308102,-1.19477931304762,-0.5331272502272478
208,208,208,07-27,1.9682817423232648,0.6270717586217175,-0.6398872474105373
209,209,209,07-28,1.6104790015358386,-0.449882587948948,-0.5874319641888142
210,210,210,07-29,1.8441565289730737,0.2534659339644991,-0.3209414813047464
211,211,211,07-30,1.4373234079173458,-0.9710654854585272,-0.22431546886963089
212,212,212,07-31,1.6966687287878226,-0.19045919395960173,-0.2562528376658296
213,213,213,08-01,1.5556133727854928,-0.6150232384369271,-0.03949040595913315
214,214,214,08-02,1.9046173272519675,0.4354475458445251,-0.26673266651296185
215,215,215,08-03,2.042576382885592,0.8506920022912307,0.11554497625768285
216,216,216,08-04,1.3911685045068656,-1.1099876293584732,-0.04209107357725402
217,217,217,08-05,2.1993612162644145,1.3226003711653411,0.0860168205908125
218,218,218,08-06,1.3824347362841705,-1.136275492969223,0.2874956045239014
219,219,219,08-07,1.8109855106804689,0.15362412657147206,0.08437341467639252
220,220,220,08-08,2.306248063028268,1.6443202494430582,0.5722032527910991
221,221,221,08-09,1.6376696578775582,-0.3680411367938222,0.29504529677777197
222,222,222,08-10,2.363615592934352,1.8169913993297653,0.37748571858708296
223,223,223,08-11,1.6468705190957451,-0.3403473649146207,0.3510368848900585
224,224,224,08-12,1.546772671140766,-0.6416329621133575,0.21264623720721829
225,225,225,08-13,1.7582620212351057,-0.0050688756106744,0.2905318419618108
226,226,226,08-14,2.0303781348482532,0.8139763633460166,0.05073654637467938
227,227,227,08-15,1.7929279542268035,0.09927249173373252,0.0902884319262897
228,228,228,08-16,1.8856041660124028,0.3782196258069776,0.19380125039116972
229,229,229,08-17,1.7257138225212254,-0.1030360516049588,0.4315473767639799
230,230,230,08-18,1.7531166277140549,-0.02055605132407717,0.4217365101522533
231,231,231,08-19,2.232188604466757,1.421407882626186,0.3986918141176351
232,232,232,08-20,2.010821010773197,0.7551111636756573,0.4942599582266696
233,233,233,08-21,1.7469903222665144,-0.03899568447397732,0.304050530710316
234,234,234,08-22,2.0761110932729627,0.9516284904611853,0.31174984863078004
235,235,235,08-23,1.3465475855920193,-1.2442926167030803,-0.08582760142784664
236,236,236,08-24,1.7684645599429818,0.02563985619870696,-0.4679122905087912
237,237,237,08-25,1.4396519379354509,-0.9640568177255741,-0.6003431518119792
238,238,238,08-26,1.2491678391151742,-1.5373969708100101,-0.6404029585659652
239,239,239,08-27,1.4830007188631482,-0.8335808522931054,-0.508041288740408
240,240,240,08-28,1.9962552923415704,0.7112696499372689,-0.3743360726028247
241,241,241,08-29,1.6103992616983869,-0.4501225977497371,0.06227455997933368
242,242,242,08-30,2.03499448079212,0.8278711530242068,0.5580946327523396
243,243,243,08-31,2.309997917738287,1.6556069777673763,0.7796865971923337
244,244,244,09-01,2.2375427774243826,1.4375234658280256,0.909760897710723
245,245,245,09-02,1.9247253609460924,0.4959709343468587,1.1361975256446435
246,246,246,09-03,2.2555472932310425,1.4917154530476051,1.006078412069481
247,247,247,09-04,2.06178132639264,0.9084971698537876,0.8043276756913437
