,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
257,257,257,09-14,8.01742274962318,0.17711809517744126,-0.28158268069572245
258,258,258,09-15,7.395360061089221,-0.5160644884778499,-0.13189141966158827
259,259,259,09-16,7.397909808699071,-0.5132232304046003,-0.05590048914364995
260,260,260,09-17,9.113655055417588,1.3986817028707892,0.4875834993141124
261,261,261,09-18,8.536320298763448,0.7553407572907193,0.8677689724130708
262,262,262,09-19,9.315540160577179,1.6236481594281762,1.133535026375862
263,263,263,09-20,10.064495510370154,2.4582309337711914,1.3370821486511009
264,264,264,09-21,8.826352269612748,1.078531835298897,1.199685951692068
265,265,265,09-22,8.493890057869768,0.7080595032468346,1.0106322692491012
266,266,266,09-23,8.373858213806404,0.5743045211165896,0.4597875402054923
267,267,267,09-24,7.518378607058746,-0.37898133736708106,-0.2702745766992188
268,268,268,09-25,6.349568759737487,-1.6814202148334765,-0.516890003388285
269,269,269,09-26,6.1335450166885925,-1.9221417676570758,-0.6369000277003679
270,270,270,09-27,7.498474804332073,-0.4011607248354999,-0.5546470163493219
271,271,271,09-28,7.847707420265667,-0.012000642625662757,-0.5533409261816618
272,272,272,09-29,8.816741782328,1.0678225892228657,-0.6093156225778411
273,273,273,09-30,7.525411126169754,-0.3711447963611205,-0.3166021055849308
274,274,274,10-01,6.048178295368334,-2.0172683932105526,-0.3691714167267593
275,275,275,10-02,7.709633293956005,-0.1658606656996141,-0.30765121591179795
276,276,276,10-03,7.2154203151310625,-0.7165765916864714,-0.41673001473521937
277,277,277,10-04,8.178957129249714,0.3571205622641054,-0.4620195059307052
278,278,278,10-05,8.22941729560753,0.4133497962823373,0.08841036112117202
279,279,279,10-06,7.2815541396871675,-0.6428817435340357,0.28801272587745724
280,280,280,10-07,9.011915911008874,1.2853108091007108,0.2244096053683499
281,281,281,10-08,8.784373368958606,1.0317535228380972,-0.04248243929751128
282,282,282,10-09,6.872955321843928,-1.0981953147411156,-0.3126692272011932
283,283,283,10-10,6.74190213016683,-1.2442317057310617,-0.3990478735910894
284,284,284,10-11,6.774622062841276,-1.2077709311397544,-0.5494696419244256
285,285,285,10-12,6.816456479080533,-1.1611536218734124,-0.7960856726639274
286,286,286,10-13,8.201984110962385,0.3827801991006935,-0.631829616855215
287,287,287,10-14,7.456492651225427,-0.4479426615989135,-0.3204214113453964
288,288,288,10-15,7.757376535766084,-0.11265897988884052,-0.2048299154296092
289,289,289,10-16,8.418650191517184,0.6242175273278497,-0.009088135163780152
290,290,290,10-17,7.397013551749143,-0.5142219556450307,0.16683902257498082
291,291,291,10-18,7.870409601634482,0.013297059721561413,0.15581562053934594
292,292,292,10-19,9.14924727056479,1.4383431455332594,0.3421064224805249
293,293,293,10-20,7.3971381844332775,-0.5140830738127227,0.343145649424958
294,294,294,10-21,8.760441758440267,1.0050858317582332,0.5763041212759586
295,295,295,10-22,8.424245810815425,0.6304528889944483,0.7508684533791136
296,296,296,10-23,8.652433315090128,0.8847288754609731,0.7719507894072786
297,297,297,10-24,8.810334755358976,1.0606830523404915,0.9522505626956764
298,298,298,10-25,9.262763117091986,1.5648371617022487,0.9415786164270544
299,299,299,10-26,8.367945279346829,0.5677155659176655,0.9224541720215242
300,300,300,10-27,8.702979672020767,0.9410541541465008,0.8212292926645602
301,301,301,10-28,8.321272046752664,0.5157062225612664,0.656341045294156
302,302,302,10-29,8.107397515714373,0.277379599319189,0.27055542717254233
303,303,303,10-30,7.922509565701071,0.07135356811806666,0.4088511391867439
304,304,304,10-31,7.185536904560895,-0.7498765470274336,0.4652564718916949
305,305,305,11-01,9.112585474788203,1.3974898380028749,0.4666651133753785
306,306,306,11-02,9.006688856908852,1.2794861503762065,0.3741996198876006
307,307,307,11-03,8.328856743735964,0.5241580714633687,0.4841551369998386
308,308,308,11-04,7.609525801982198,-0.2774133616074786,0.8646262169289094
309,309,309,11-05,8.514554659217104,0.7310866707914948,0.568814245930749
310,310,310,11-06,9.234147488301057,1.5329499325469909,0.4215072923749973
