,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
249,249,249,09-06,1.0116467107369698,0.8771414293406711,0.09071231123061778
250,250,250,09-07,0.5407864963226136,-1.3165433872840695,-0.2523803934887172
251,251,251,09-08,0.6456902944580474,-0.8278083824330171,-0.1525182768736698
252,252,252,09-09,0.7703299999643616,-0.247126003358256,-0.2774302231744877
253,253,253,09-10,0.8687137499452278,0.2112328299614497,-0.5073241781812402
254,254,254,09-11,0.7457851232447315,-0.3614778252737009,0.09743400215208277
255,255,255,09-12,0.7155752346706946,-0.502222300699844,0.6246509141413866
256,256,256,09-13,1.3196310166545309,2.312005694715868,0.6673210273967777
257,257,257,09-14,1.3246724335716742,2.3354930895028065,0.6320867448814754
258,258,258,09-15,0.8252831778983689,0.008894676174090075,0.6614222807705549
259,259,259,09-16,0.8233368889828101,-0.00017286513036426506,0.5950171286641311
260,260,260,09-17,0.7835652180350439,-0.18546460993922448,-0.02552896580930919
261,261,261,09-18,0.6300546240831875,-0.9006532133383859,-0.6297530304334784
262,262,262,09-19,0.5204538562436916,-1.4112708721247742,-0.2369205220445153
263,263,263,09-20,0.5465157800712039,-1.2898512982422088,-0.270255336588266
264,264,264,09-21,1.3311968745074056,2.3658897265078687,-0.18858505424324576
265,265,265,09-22,0.7804062788844545,-0.20018175239286845,-0.2995180236717154
266,266,266,09-23,0.8887451956639875,0.3045570841308969,-0.33580324540422185
267,267,267,09-24,0.4871883708050737,-1.5662510299092038,-0.2071840235754172
268,268,268,09-25,0.4737235315710845,-1.6289822025198124,-0.7529555253737114
269,269,269,09-26,0.7121594693810483,-0.5181359672693812,-0.6614736135180174
270,270,270,09-27,0.6283190014133413,-0.9087392842818968,-0.8474772253442371
271,271,271,09-28,0.8982222722440217,0.3487097187412957,-0.7703833734736149
272,272,272,09-29,0.6491983841550474,-0.8114645868264203,-0.5767715614338821
273,273,273,09-30,0.5864745417628942,-1.1036879186854702,-0.7555140491061106
274,274,274,10-01,0.7230686479869826,-0.4673113302814154,-0.7417973956293574
275,275,275,10-02,0.4819639770318897,-1.5905908933027533,-0.9495088058076292
276,276,276,10-03,0.6459841455074201,-0.8264393634213775,-0.9117578301787364
277,277,277,10-04,0.6307188322101933,-0.8975587423283352,-1.0078511383482898
278,278,278,10-05,0.6978163962165649,-0.5849587330530633,-0.9059033074890538
279,279,279,10-06,0.4627197105886016,-1.6802477677027894,-0.637628671883624
280,280,280,10-07,0.8543632910469202,0.14437565487400011,-0.6428095076317116
281,281,281,10-08,0.8274644376790985,0.019056920329825658,-0.44130522954228507
282,282,282,10-09,0.6393119488106945,-0.8575243779099029,-0.2264652192894007
283,283,283,10-10,0.8902283484384619,0.31146692620822364,0.05584464552488018
284,284,284,10-11,0.9745004828068228,0.7040813284642429,0.35136741402634314
285,285,285,10-12,0.8262955966147465,0.013611421182896023,0.4304663825169042
286,286,286,10-13,1.2349555614215384,1.9175122658827777,0.4663262412103615
287,287,287,10-14,0.9293329202828814,0.4936507312731923,0.4427711222042421
288,288,288,10-15,0.6854944649825012,-0.6423652257491591,0.3650067396523891
289,289,289,10-16,0.8598926275498735,0.17013621217150734,0.2282474299198091
290,290,290,10-17,0.8743507614849494,0.2374950331531253,0.13225627501454887
291,291,291,10-18,0.6501686049453023,-0.8069444372125842,-0.09775293434549187
292,292,292,10-19,1.1113322894600286,1.3415653364512163,0.07125801802769187
293,293,293,10-20,0.6331130126212643,-0.8864045248870523,0.2435229067426066
294,294,294,10-21,0.9031570918185382,0.37170048848994347,0.5786909749678311
295,295,295,10-22,1.081745872341453,1.2037255444609958,1.0500957251414311
296,296,296,10-23,1.3060006701865918,2.248503442504472,0.813666735943837
297,297,297,10-24,1.2572724333363186,2.021484063829017,1.0480656442314944
298,298,298,10-25,0.8068445972345716,-0.07700859873434843,0.8508011312661777
299,299,299,10-26,0.9349862426634018,0.5199889248388926,0.28290057089906506
300,300,300,10-27,0.6491078040614037,-0.8118865893019571,-0.20419574131012705
301,301,301,10-28,0.35036884608681645,-2.2036778177416805,-0.7443287623849614
302,302,302,10-29,0.6786882898415811,-0.6740744307506805,-0.7349797392144907
303,303,303,10-30,0.5616561400890011,-1.2193140626199899,-0.8753046538061002
304,304,304,10-31,0.8188848402665285,-0.020914459711524086,-0.7943712015166478
305,305,305,11-01,0.7542672472866355,-0.3219605627107645,-0.78714443994369
306,306,306,11-02,0.7533388469427784,-0.3262858755652421,-0.7192204953148443
307,307,307,11-03,0.3596759110160435,-2.160317248303934,-0.06705576334274642
308,308,308,11-04,0.7661648941999497,-0.26653076297760664,0.0049671141314327795
309,309,309,11-05,1.4015537129837488,2.6936743292125978,-0.051839814598613095
310,310,310,11-06,0.9116403006860702,0.4112228051335512,0.017749161162833885
311,311,311,11-07,0.6811078149761932,-0.6628021350910398,0.33638060269078524
