,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
191,191,191,07-10,4.004636391986905,2.3871149475298608,0.4593763801467
192,192,192,07-11,2.190894763471276,-1.0235132557718198,0.5151279302135268
193,193,193,07-12,2.6688393638760823,-0.12476819300868786,0.12905351277672591
194,194,194,07-13,3.477119417990994,1.395152122756823,-0.03635202536344486
195,195,195,07-14,2.030505090751754,-1.3251160489674634,-0.5160335571267306
196,196,196,07-15,1.9231547266384064,-1.5269817247193793,-0.3591474940206397
197,197,197,07-16,2.4740942559423145,-0.490974243049853,-0.2938617204816597
198,198,198,07-17,2.6914784095819586,-0.08219687713527479,-0.9045696619836288
199,199,199,07-18,2.8771497128660948,0.2669464482251919,-0.8217334483845194
200,200,200,07-19,1.5285052325545545,-2.2690955262549912,-0.3517259708243192
201,201,201,07-20,2.2948144437463838,-0.828098767372808,-0.4183380319638512
202,202,202,07-21,3.422829408750024,1.293063140641823,-0.3580254965190572
203,203,203,07-22,2.2615520595228285,-0.8906466098870451,-0.3572751794987739
204,204,204,07-23,2.8839204168666868,0.2796783355334889,-0.04986195043616889
205,205,205,07-24,2.879543784221549,0.2714483503468912,0.08980884211483613
206,206,206,07-25,2.509382896383464,-0.4246161518793611,-0.2406831734489928
207,207,207,07-26,2.740468526754833,0.009925987933222,-0.2638020245106352
208,208,208,07-27,2.368313189233856,-0.6898889527411504,-0.6464199201462718
209,209,209,07-28,2.187785667982358,-1.0293597162569,-0.7971324943960445
210,210,210,07-29,1.6630837314884337,-2.01602903828033,-0.8373934935904087
211,211,211,07-30,2.398658175653116,-0.6328270951517452,-0.9774879325559216
212,212,212,07-31,2.3809202568490297,-0.6661821470455466,-0.7760539798172351
213,213,213,08-01,2.2934626954607964,-0.8306406458598552,-0.7466174151899053
214,214,214,08-02,3.0110378552497994,0.5187147636909685,-0.6259799440729978
215,215,215,08-03,2.2817102815419257,-0.8527403284929213,-0.5965403140174956
