,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
302,302,302,10-29,2.1761970883714774,0.3042851168035534,0.20346800439801468
303,303,303,10-30,1.95990470327532,-0.2226352637375172,0.18328231579915089
304,304,304,10-31,2.2648209332798497,0.5201859681597946,0.08398195174456924
305,305,305,11-01,2.002197751056476,-0.11960311666871942,0.20983508626126127
306,306,306,11-02,1.9734341016447288,-0.1896756395041848,-0.006253921388225743
307,307,307,11-03,2.4480065949975733,0.9664534525146359,0.18121212889012506
308,308,308,11-04,1.6439906080348186,-0.9922489290933688,0.2225010280818159
309,309,309,11-05,2.421615587537845,0.9021610379325876,0.3112022184232211
310,310,310,11-06,2.3665115280713658,0.7679193633099396,0.3691574271732903
311,311,311,11-07,2.220660267159309,0.4126040253797116,0.3048593875850434
312,312,312,11-08,2.1161722168388257,0.15805561299623064,0.4813385459223865
313,313,313,11-09,2.289646696388963,0.5806652149851547,0.11205338172046547
314,314,314,11-10,2.0786418322370426,0.06662602093068973,-0.038335179331756786
315,315,315,11-11,1.5121016811236607,-1.3135499472789385,0.05792873537879097
316,316,316,11-12,1.9961189401692303,-0.13441200300339398,-0.09298281520997656
317,317,317,11-13,2.457749047328228,0.9901875136429982,-0.046695419959492925
318,318,318,11-14,1.7444915559174965,-0.7474136905363746,-0.03694721653832138
319,319,319,11-15,2.4036481070954743,0.8583895864880565,0.026982312486498072
320,320,320,11-16,2.102650721392584,0.12511524145771896,0.13475571136412925
321,321,321,11-17,1.6695539735931997,-0.9299727731300216,-0.07187291293415082
322,322,322,11-18,2.2615544748801004,0.5122283902623929,0.04656615281034306
323,323,323,11-19,1.948842582946792,-0.2495842321466821,-0.22702235086701114
324,324,324,11-20,2.0361956041700817,-0.03677929606941133,-0.23317695766601845
325,325,325,11-21,1.7298258882490574,-0.7831414355760686,-0.1534654490912897
326,326,326,11-22,2.087492515716204,0.088187600663675,-0.15101240933694576
327,327,327,11-23,1.8658757665540664,-0.4517037216816491,-0.1905080796511132
