,mth_day,Morgan Freeman,Morgan Freeman_norm
316,11-12,2.271002399016251,0.3600590929861766
317,11-13,1.8753279451905143,-0.7205194238781671
318,11-14,2.1590143094507908,0.054222002521871836
319,11-15,1.889341816099166,-0.6822478405207322
320,11-16,2.0364152168888254,-0.2805935114154241
321,11-17,1.4660835340964269,-1.8381572053909307
322,11-18,1.8737201539956203,-0.7249102674315172
323,11-19,3.323961200656157,3.235667182399045
324,11-20,2.4609556400525294,0.8788173536924835
325,11-21,2.3374416674022607,0.5415033216947746
326,11-22,2.4995633479944623,0.9842541828434486
327,11-23,2.68055675954741,1.4785433398185372
328,11-24,2.0531333236608202,-0.23493671743797365
329,11-25,1.797818205479711,-0.9321968742907955
330,11-26,2.1114719322284907,-0.07561521838120927
331,11-27,1.8001914927260998,-0.9257154773039549
332,11-28,2.498755695657656,0.982048501491494
333,11-29,1.8408460193227625,-0.8146888299455393
334,11-30,2.9499919301584256,2.214365059504715
