,unnamed: 0,unnamed: 0,mth_day,oscar (best picture),oscar (best picture)_norm,oscar (best picture)_ravg,Oscar (Best Picture)_ravg
265,265,265,09-22,4.199173355727002,0.8456229509628417,0.32275706580524083,0.32275706580524116
266,266,266,09-23,3.9325108634867423,0.3911350103906931,0.2232677210009204,0.22326772100092065
267,267,267,09-24,2.8691202285470743,-1.4212616849120492,-0.21047159244509026,-0.21047159244508995
268,268,268,09-25,3.7537579021411727,0.08647624645802987,-0.11083389332370053,-0.11083389332370024
269,269,269,09-26,3.0082150356714954,-1.1841945522112094,-0.3262443732358366,-0.3262443732358363
270,270,270,09-27,4.065161318154886,0.6172186693694939,-0.3278084813968396,-0.3278084813968393
271,271,271,09-28,3.440844384149964,-0.4468399285099748,-0.038321301264948066,-0.03832130126494778
272,272,272,09-29,3.9270045922335854,0.3817503614246753,-0.1580292269723604,-0.1580292269723601
273,273,273,09-30,3.888228099639032,0.3156613958793001,-0.05876892207742431,-0.05876892207742401
274,274,274,10-01,3.3323392774375376,-0.6317713077864441,-0.3084735426412513,-0.308473542641251
275,275,275,10-02,3.3576500536896656,-0.5886327228415928,-0.18146265753491955,-0.18146265753491927
276,276,276,10-03,3.186103585274672,-0.8810090540134679,-0.08676667162971019,-0.0867666716297099
277,277,277,10-04,3.8879722765396947,0.3152253821280155,-0.13711346492774376,-0.13711346492774348
278,278,278,10-05,4.26037142579369,0.9499262768559316,0.17568538512148005,0.17568538512148035
279,279,279,10-06,3.710987735105828,0.0135806360910986,0.12006888457240612,0.12006888457240643
280,280,280,10-07,4.4335133260031485,1.2450217925088989,-0.050850257177941234,-0.05085025717794086
281,281,281,10-08,3.161858262680723,-0.9223317261360364,-0.11411010636344132,-0.11411010636344093
282,282,282,10-09,2.5844014905611803,-1.9065239045155515,-0.38294834369916414,-0.3829483436991638
283,283,283,10-10,3.665272914862742,-0.06433371298498496,-0.5082361835904879,-0.5082361835904877
284,284,284,10-11,3.313955893352845,-0.6631031471584055,-0.8410447040585373,-0.8410447040585369
285,285,285,10-12,3.269925634438072,-0.7381464032568448,-1.0064168057807883,-1.0064168057807883
286,286,286,10-13,3.2618974270851657,-0.751829330299396,-0.6794666201112357,-0.6794666201112355
287,287,287,10-14,2.5796839140709427,-1.914564336469544,-0.7741636326370168,-0.7741636326370167
288,288,288,10-15,3.735393764274345,0.05517720950176504,-0.6900289478770739,-0.6900289478770739
289,289,289,10-16,3.3319024671975,-0.6325157881396726,-0.6158951998131609,-0.6158951998131609
290,290,290,10-17,3.610142824434332,-0.15829503859874766,-0.4942661032457534,-0.49426610324575343
291,291,291,10-18,3.5309053646322064,-0.2933439148733666,-0.4516164410902177,-0.4516164410902177
292,292,292,10-19,3.690079323116538,-0.0220547508949518,-0.24047737254403825,-0.24047737254403823
