,unnamed: 0,unnamed: 0,mth_day,pixar,pixar_norm,pixar_ravg,Pixar_ravg
164,164,164,06-13,0.7211212332353442,0.6680130296389267,0.4042599916408591,0.4042599916408591
165,165,165,06-14,0.5553360527150294,-0.04666050490787617,0.2623972001609139,0.2623972001609139
166,166,166,06-15,0.7874599737406148,0.9539887845615777,0.3062249203570224,0.3062249203570224
167,167,167,06-16,0.5562895195388805,-0.042550261139789256,0.3933283397594928,0.39332833975949283
168,168,168,06-17,0.6047989129487884,0.16656601534628734,0.2880565287765691,0.28805652877656907
169,169,169,06-18,0.7194046181302873,0.6606129750578295,0.5222134271784293,0.5222134271784293
170,170,170,06-19,0.5745997348683591,0.03638216374138432,1.052098348609963,1.052098348609963
171,171,171,06-20,0.8812449478547906,1.3582808855032855,1.0130461395882977,1.0130461395882975
172,172,172,06-21,1.5249749069910217,4.13329831315078,1.1855240059210148,1.1855240059210148
173,173,173,06-22,0.5019350999941906,-0.2768635152697827,1.227384211943943,1.2273842119439433
174,174,174,06-23,0.8448604752440324,1.2014332133425911,1.1701335021754564,1.1701335021754564
175,175,175,06-24,0.7776673197135732,0.9117742111953998,1.129916509346912,1.1299165093469121
176,176,176,06-25,0.4949159173342162,-0.30712209486953657,0.3839987945790273,0.38399879457902725
177,177,177,06-26,0.8252693358269093,1.1169789285320204,0.7163260085485881,0.7163260085485881
