,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
263,263,263,09-20,2.7348017919285774,3.1882442977536942,0.8295016232748611
264,264,264,09-21,1.971505047013533,0.8841106568424556,0.9246499541650249
265,265,265,09-22,2.011609796624323,1.0051732754821148,0.691268575676311
266,266,266,09-23,1.753699553219752,0.2266298425080635,0.42288075731785596
267,267,267,09-24,1.3026541100885671,-1.134923165573941,-0.3429369530791268
268,268,268,09-25,1.138002531172397,-1.6319503631052543,-0.5036747664099647
269,269,269,09-26,1.212634444083772,-1.4066619646282026,-0.7277314119824038
270,270,270,09-27,1.6520166783136976,-0.08031622314257182,-0.755451405854068
271,271,271,09-28,1.5662665963721252,-0.3391665979525195,-0.7748349207389534
272,272,272,09-29,1.6986022774829026,0.060309879278078335,-0.681384818226037
273,273,273,09-30,1.2641267255117048,-1.2512242548832535,-0.7074235051485923
274,274,274,10-01,1.3237473798050747,-1.0712497480277547,-0.6305532458106703
275,275,275,10-02,1.1608789956576429,-1.5628940861635348,-0.7574599241935865
276,276,276,10-03,1.804806823012613,0.3809053328849604,-0.9286073735340307
277,277,277,10-04,1.314022231381166,-1.1006066682500164,-0.8985602537211642
278,278,278,10-05,1.3584233347448171,-0.966574816764586,-1.0730580061658455
279,279,279,10-06,1.3238494820567541,-1.0709415360060548,-1.0262885198513239
280,280,280,10-07,0.9769092518308452,-2.118236262695843,-1.3188619592156783
281,281,281,10-08,1.2538397407239008,-1.2822771682764051,-1.095158602875726
282,282,282,10-09,1.223277132329154,-1.3745353033011656,-0.8176566511171158
283,283,283,10-10,1.7586632210070807,0.2416134697896972,-0.6127309842002159
284,284,284,10-11,1.9099963843040857,0.6984368937870742,-0.0007780859475787771
285,285,285,10-12,1.7311672479968072,0.158612465495345,-0.030911739051728615
286,286,286,10-13,2.1932492600245608,1.5534811268199795,0.21803755784751164
287,287,287,10-14,1.1939449874377148,-1.4630790869013042,-0.09939389194031845
288,288,288,10-15,1.7180978786559924,0.11916047809427592,-0.5120287558272735
289,289,289,10-16,1.1277248377779947,-1.6629752289372832,-0.7906630492802645
290,290,290,10-17,1.089828206075985,-1.7773722895346562,-1.2405328229454315
291,291,291,10-18,1.177343514586291,-1.5131932952226006,-1.232724939126182
292,292,292,10-19,1.2990716104890376,-1.145737515171023,-1.2285327451584995
293,293,293,10-20,1.209464223470094,-1.4162317839858083,-1.072841097152261
294,294,294,10-21,1.7264304370270054,0.14431364190037138,-0.7638365396278376
295,295,295,10-22,1.437183263340382,-0.7288253408998536,-0.6923230842832105
296,296,296,10-23,1.7040169894028774,0.0766550556118849,-0.5480136830448273
297,297,297,10-24,1.3194862793451798,-1.0841125631548374,-0.29410643614630716
298,298,298,10-25,1.5859062652246056,-0.2798811077407231,-0.3067082931921675
299,299,299,10-26,1.7141395729207476,0.1072116974053126,0.02002814472975195
300,300,300,10-27,1.7013825241137963,0.06870249962520933,-0.048294934652094564
301,301,301,10-28,2.086616582005804,1.2315932866316632,0.20159891995283674
302,302,302,10-29,1.5682155328325604,-0.3332834206791942,0.10319057863648111
303,303,303,10-30,1.8161844631852,0.4152505644747505,0.16783489119818584
304,304,304,10-31,1.3903062394303816,-0.870331155638857,0.04613210322789615
305,305,305,11-01,1.8426289777352336,0.495077572775541,-0.13845594730313648
306,306,306,11-02,1.4594816024257566,-0.6615142281965288,-0.25959201494079237
307,307,307,11-03,1.719722607753087,0.12406498344546744,-0.3187018057808246
308,308,308,11-04,1.3274410452475498,-1.0600998265051294,-0.09025713870927678
309,309,309,11-05,1.6986956765808892,0.0605918194345571,0.026885176653284586
310,310,310,11-06,1.844371232031991,0.5003368467904296,0.2531584949387686
